,Andrew,,,Daniel,,,Emma,,,Jennifer,,,Kristen,,,Matt,,,Paul,,,Rob,,,Rosa,,,Sheldon,,,Zendaya,
,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación
0,0,1.428571429,,0,1.893734056,,0,2.531489158,,0,1.790497449,,0,2.267219388,,0,1.451690051,,0,1.198182398,,0,2.380819515,,0,3.192362883,,0,1.049904337,,0,0.7465720663
1,2,1.407844388,,6,1.873804209,,1,2.523915816,,2,1.759805485,,5,2.19666773,,1,1.438536352,,1,1.157924107,,3,2.364078444,,2,3.179607781,,1,1.008848852,,1,0.6788105867
2,3,1.407445791,,13,1.870216837,,2,2.496014031,,5,1.672911352,,6,2.180723852,,2,1.341278699,,2,1.147959184,,4,2.349728954,,3,3.071189413,,3,1.00526148,,2,0.6501116071
3,4,1.379942602,,22,1.857063138,,6,2.452965561,,8,1.638632015,,8,1.965880102,,5,1.321747449,,3,1.140784439,,6,2.261639031,,4,3.030532526,,4,0.9482621173,,8,0.5931122449
4,8,1.35283801,,24,1.827965561,,10,2.439413265,,9,1.627869898,,11,1.882971939,,6,1.311383929,,4,1.120057398,,16,2.252869898,,5,3.019371811,,11,0.9127869898,,11,0.5691964286
5,16,1.329320791,,38,1.781728316,,15,2.414301658,,11,1.613919005,,13,1.882174745,,7,1.310985332,,5,1.096938776,,17,2.205436862,,9,3.003427934,,14,0.911192602,,16,0.5504623724
6,17,1.314572704,,40,1.76698023,,23,2.36846301,,13,1.579639668,,15,1.855070153,,8,1.292649872,,14,1.096540179,,19,2.167171556,,15,2.983498087,,20,0.8988360969,,25,0.5321269133
7,19,1.273915816,,47,1.759805485,,95,2.359693878,,14,1.546556122,,16,1.785315689,,9,1.276307398,,18,1.079799107,,24,2.159598214,,17,2.93486926,,42,0.8797034439,,28,0.520966199
8,22,1.265943878,,247,1.757413903,,131,2.348533163,,16,1.533003827,,17,1.751434949,,16,1.235251913,,21,1.076211735,,31,2.156409439,,18,2.871492347,,103,0.872130102,,34,0.5090082908
9,27,1.265146684,,248,1.746651786,,134,2.332987883,,24,1.527423469,,18,1.748246173,,20,1.223692602,,23,1.045918367,,40,2.155213648,,20,2.855149872,,106,0.866151148,,35,0.4803093112
10,30,1.26036352,,278,1.741868622,,163,2.331393495,,27,1.474808673,,25,1.736686862,,31,1.209343112,,25,1.027184311,,44,2.077487245,,22,2.838408801,,107,0.8518016582,,46,0.475526148
11,36,1.234853316,,293,1.729910714,,174,2.321827168,,29,1.474410077,,30,1.677295918,,33,1.206951531,,28,1.023995536,,49,2.009725765,,23,2.804926658,,108,0.8502072704,,60,0.4659598214
12,37,1.222895408,,300,1.711176658,,185,2.31385523,,33,1.467235332,,32,1.669722577,,35,1.199378189,,29,1.023596939,,51,1.965880102,,25,2.800143495,,137,0.8203125,,62,0.4627710459
13,41,1.21611926,,312,1.691246811,,200,2.296715561,,35,1.444116709,,37,1.664939413,,61,1.192203444,,32,1.019610969,,53,1.965481505,,28,2.766262755,,146,0.8031728316,,72,0.4595822704
14,45,1.19658801,,362,1.682079082,,210,2.289142219,,42,1.432955995,,40,1.643813776,,64,1.188217474,,40,1.009646046,,59,1.953523597,,31,2.757095026,,192,0.7987882653,,189,0.455994898
15,48,1.185825893,,372,1.65497449,,215,2.266422194,,48,1.428970026,,42,1.633848852,,65,1.168287628,,41,1.003268495,,60,1.930006378,,33,2.706473214,,227,0.7971938776,,195,0.4551977041
16,73,1.183035714,,425,1.653778699,,220,2.265625,,49,1.421396684,,45,1.616709184,,70,1.153539541,,46,0.9925063776,,62,1.917649872,,34,2.673389668,,234,0.7844387755,,197,0.4528061224
17,133,1.167490434,,464,1.652582908,,221,2.262834821,,60,1.417012117,,48,1.607541454,,71,1.131616709,,49,0.9327168367,,71,1.847496811,,35,2.643096301,,280,0.7796556122,,200,0.4508131378
18,139,1.155532526,,468,1.640226403,,232,2.250876913,,67,1.399075255,,51,1.587611607,,105,1.114078444,,52,0.9167729592,,84,1.837531888,,40,2.624362245,,362,0.7760682398,,223,0.44921875
19,142,1.128029337,,487,1.637436224,,244,2.242904974,,71,1.395089286,,56,1.558514031,,116,1.102120536,,56,0.8884725765,,86,1.824378189,,42,2.558195153,,400,0.7732780612,,238,0.4280931122
20,191,1.114078444,,494,1.634646046,,246,2.235331633,,75,1.385124362,,59,1.550940689,,119,1.097337372,,57,0.8753188776,,94,1.799266582,,44,2.558195153,,473,0.768494898,,371,0.4201211735
21,198,1.10809949,,497,1.600366709,,270,2.231345663,,82,1.366390306,,60,1.52861926,,121,1.095344388,,59,0.8673469388,,95,1.793287628,,47,2.555404974,,493,0.7653061224,,435,0.4153380102
22,972,1.104512117,,500,1.599968112,,277,2.206632653,,86,1.360411352,,61,1.523038903,,126,1.081393495,,61,0.8478156888,,127,1.778539541,,48,2.553810587,,528,0.7645089286,,447,0.4109534439
23,1002,1.100526148,,501,1.585220026,,294,2.203443878,,116,1.350845026,,63,1.510682398,,133,1.076211735,,96,0.827088648,,146,1.771763393,,49,2.54942602,,542,0.7621173469,,1006,0.4097576531
24,1164,1.099330357,,534,1.556919643,,297,2.183514031,,132,1.350446429,,67,1.501514668,,143,1.075414541,,136,0.8246970663,,157,1.758211097,,51,2.51434949,,591,0.7561383929,,1520,0.4085618622
25,1266,1.098134566,,554,1.548947704,,301,2.169563138,,138,1.344866071,,71,1.493144133,,145,1.072624362,,137,0.8167251276,,162,1.757413903,,57,2.509964923,,629,0.7501594388,,1628,0.4077646684
26,1282,1.087771046,,560,1.520647321,,306,2.154017857,,140,1.340880102,,72,1.478794643,,148,1.059072066,,147,0.8127391582,,169,1.731505102,,60,2.493622449,,640,0.7477678571,,1733,0.4061702806
27,1284,1.08458227,,793,1.516661352,,310,2.150829082,,141,1.334901148,,80,1.465242347,,150,1.01044324,,167,0.8111447704,,192,1.694435587,,64,2.48565051,,746,0.7378029337,,1830,0.403380102
28,1308,1.081393495,,796,1.505899235,,311,2.126913265,,152,1.318160077,,88,1.45049426,,157,1.002072704,,172,0.7828443878,,200,1.690848214,,66,2.460140306,,819,0.735411352,,1857,0.4029815051
29,1316,1.078603316,,812,1.491549745,,318,2.100605867,,153,1.310985332,,91,1.440927934,,172,0.9937021684,,192,0.7792570153,,205,1.666533801,,69,2.435028699,,839,0.7310267857,,,
30,1336,1.064652423,,823,1.483577806,,333,2.079081633,,156,1.302216199,,92,1.413026148,,182,0.9869260204,,227,0.7613201531,,206,1.665736607,,78,2.425063776,,899,0.7298309949,,,
31,1353,1.064253827,,849,1.471619898,,410,2.060746173,,158,1.285076531,,94,1.408242985,,209,0.9590242347,,470,0.755341199,,245,1.64580676,,80,2.378826531,,917,0.7242506378,,,
32,1546,1.061065051,,910,1.463249362,,443,2.056361607,,192,1.277104592,,100,1.394292092,,248,0.9534438776,,597,0.754942602,,251,1.644610969,,83,2.378826531,,931,0.7230548469,,,
33,1677,1.051498724,,1053,1.462850765,,461,2.054368622,,200,1.265146684,,101,1.348453444,,270,0.9390943878,,688,0.7509566327,,273,1.642617985,,93,2.376036352,,976,0.7202646684,,,
